source_row,index,valid,issues,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
78,78,True,,1034.018998955639,-350.1807391805733,1048.5758937045846,-0.3596349421754177,-0.023748961097592947,0.9327908099961476,-0.6354924647453957,0.7382243218585676,-0.2262171033946823,-0.6832364419571795,-0.674137105834743,-0.2805835471271447
79,79,True,,1036.4722978701388,-349.8046642359053,1046.5837445406119,-0.34883117305653166,-0.012723083954482104,0.9370992134447084,-0.642777677895017,0.7309148803852829,-0.22934754071334093,-0.6820217514888319,-0.682350028039902,-0.2631440094891981
80,80,True,,1038.73289442256,-351.58626704398637,1044.0708373756936,-0.33930107596698295,-0.0024130781415972235,0.9406747349118771,-0.6593363503492947,0.7138513384260622,-0.23599119419035922,-0.6709324533481146,-0.7002931126901095,-0.24380155734342213
81,81,True,,1040.585766699402,-354.49531629099,1041.5946117480787,-0.3321915333392731,0.006369583223975985,0.9431904439651917,-0.6800430519762376,0.6913159425794231,-0.2441796776850359,-0.6535979135803195,-0.7225245296493932,-0.22531771217189417
82,82,True,,1042.320087546723,-356.8882657024224,1039.449736279406,-0.32601067197780337,0.014792080094643808,0.945250356319983,-0.6978437170709754,0.6707634090727712,-0.25117841386878537,-0.6377548026484361,-0.7415238657086823,-0.2083534695734785
83,83,True,,1044.4098037446538,-358.60279334019776,1037.4186013959861,-0.31875645043880996,0.024974233201547593,0.9475075793784686,-0.7123630610894245,0.6531150973234177,-0.2568648260146332,-0.6252465069866089,-0.7568467198344837,-0.19039392893899496
84,84,True,,1046.8801396707504,-358.9887678778275,1035.6021481575704,-0.3098961529336529,0.03676358623325599,0.9500593734731488,-0.7214405527950164,0.6417490442324172,-0.2601570545066962,-0.6192640011979892,-0.7660330299367313,-0.1723528179816273
85,85,True,,1049.4572940891348,-358.6505736534432,1033.9790077722307,-0.30063207189100455,0.04895089180247917,0.9524831586659492,-0.727651027537661,0.6338394745684687,-0.2622432126903457,-0.6165584639544802,-0.771914069486047,-0.1549333077668656
86,86,True,,1051.596121287205,-362.19541655164426,1031.6721953125877,-0.29411347220841705,0.05955907424984013,0.9539129845745945,-0.7477172882983434,0.6073294674710423,-0.26845814333171597,-0.5953285834270692,-0.7922143867766113,-0.13409042896074702
87,87,True,,1053.2833031086416,-366.48255237731985,1029.6395938293153,-0.29002036723602304,0.06838901633111391,0.9545737944410295,-0.7692599418445076,0.5767101607464338,-0.2750355110984895,-0.5693218144965703,-0.8140812815297287,-0.11464876188275083
