row_label,inserted_transition_point,frame_a_origin_dy_mm,frame_a_origin_dz_mm,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
279,0,-3.9988544153328265,3.999203043353779,1050.594325040661,-640.0095019613748,1031.8106016729898,0.18144892020519363,0.19991050437321806,0.9628665949120964,0.3156701283176533,-0.9391445889168186,0.13549838078802331,0.9313585021055455,0.27936218668514434,-0.23351254614304767
280,0,-3.999003794332513,3.9991724992122464,1050.0814122525744,-639.6069040562651,1031.9538368972226,0.1881374753273339,0.19742495870359494,0.9620954609904055,0.3323940272721694,-0.9345807710574884,0.12677930826195222,0.924185317461409,0.2959428459187257,-0.2414525438637585
281,0,-3.999214551892038,3.999328306096754,1049.4075718807808,-639.1888459584667,1032.2466037849902,0.1961792087723656,0.19567467280762563,0.9608460545098145,0.3487772576624519,-0.9297313560744498,0.11812717752246683,0.9164432020495915,0.31194715570684955,-0.2506408375813853
282,0,-3.9995622940702686,3.9995610330571685,1048.7773391789099,-637.5095354128453,1032.672080775489,0.20227145906403365,0.19689254577145154,0.9593328839708061,0.3520754057291039,-0.9287088292108152,0.11637361911775301,0.9138540176246935,0.3142184526177828,-0.257172312867642
283,0,-3.999838884574122,3.9998137398632023,1048.1489031675342,-635.8430431346256,1033.0996458930058,0.2083755526321721,0.1980998485610147,0.9577766331798558,0.35551069849564404,-0.9276300654440057,0.11451901562399612,0.911148600569839,0.31663687669703416,-0.2637220430589203
284,0,-3.9998272851090904,4.000054226978658,1047.5215040025992,-634.1132220443096,1033.5339068659036,0.21449640563768801,0.1993500029323155,0.9561646658914971,0.3583725062451347,-0.9267365327987944,0.11282085597818321,0.9086035652230808,0.31846345961029016,-0.27022321542930366
285,0,-3.999960469840408,4.000250096547719,1046.8635190059151,-632.6379620961849,1033.9427236133454,0.22131981508768647,0.2000872866504381,0.9544540937993916,0.3639072532377438,-0.9249735246529244,0.10952392310407101,0.9047591118582409,0.3230929532069855,-0.27752818432994486
286,0,-4.000194394406039,4.000343007813659,1046.20202592085,-632.1045785427893,1034.142554381981,0.22974053221019225,0.19862220531040053,0.9527688635851882,0.37923060085360705,-0.9198483108508408,0.10031568372426822,0.8963277521286451,0.33827253004417646,-0.2866500587502502
287,0,-4.0002993396058715,4.000382153784904,1045.6469973937733,-631.4182492153585,1034.3056500275025,0.23685835149670587,0.19739915949273645,0.9512789775653744,0.39278312765309875,-0.9150102452398642,0.09207424035599421,0.8886053882108259,0.35183777929273746,-0.29426287755176067
288,0,-4.000336874038246,4.00038163761755,1045.1085433822716,-629.9338864015358,1034.6184063027806,0.24252121295806278,0.19813207224669166,0.9496984485680608,0.39806135078149396,-0.9130474540233966,0.08883415849438711,0.8847206464638216,0.3564940794019239,-0.3003020963496799
289,0,-4.000350769228505,4.000346490683693,1044.4719654737764,-628.3907083297242,1035.0282235304833,0.2489690595910368,0.19938601926090582,0.9477655948016073,0.40273596198209877,-0.9112751814425408,0.0859144261065501,0.8808053997863026,0.36030925468291,-0.30717924522522305
290,0,-4.000330247750041,4.000300669083108,1043.8128658579367,-626.6241818541625,1035.5110485222938,0.2553138430380974,0.20119610144940467,0.9456928519951278,0.4051705731103332,-0.9103471688706097,0.08429020592399762,0.8778676712572129,0.361646458424283,-0.31394297391502723
291,0,-4.000221695537462,4.000258242546089,1043.136507705578,-625.2123643016763,1035.907939907622,0.26256655262170797,0.20221290747114884,0.9434875439010398,0.41129612147787936,-0.907971964658828,0.08013995165235321,0.8728655714951791,0.36701069663655933,-0.32157245319327654
292,0,-3.999922807401879,4.000227593236121,1042.502718652261,-624.336929389847,1036.1076904717434,0.2705336804120198,0.20187737741756928,0.9413060353836745,0.42290160986706915,-0.9032961305259664,0.0721826083531053,0.8648501350722959,0.3785520110418393,-0.32974629459875787
